Trap JDay  Latitude Longitude  Altitude OctRain NovRain DecRain JanRain FebRain MarRain AprRain MayRain  C30Day  F60Day ConForest DecForest MixForest Grassland Arable InlandWater     Sea   Urban
   1  181     56.11     13.11        10    62.0    81.2   113.4    89.9    77.5    50.5    71.7    67.3    0.09    2.89     0.218     0.035     0.039     0.000  0.378       0.017   0.230   0.043
   2   95     47.48     -0.58        20    74.4    77.2   105.4   125.2   100.1    70.2    34.1    54.1    7.11    8.37     0.057     0.019     0.027     0.095  0.784       0.004   0.000   0.013
   3  170     51.76     11.44       130    57.5    43.0    29.1    45.3    52.2    39.1    42.4    55.4    1.65    4.10     0.086     0.080     0.048     0.002  0.738       0.001   0.000   0.045
   4  120     47.81      3.58       100    36.7    47.5    46.7    98.7    66.3    58.9    71.8    89.1    5.53    7.14     0.007     0.329     0.014     0.109  0.531       0.001   0.000   0.008
   5  145     55.45     -4.55        46    85.3   153.1   253.6   175.7   160.8   138.0    31.5    70.8    4.05    5.02     0.066     0.054     0.079     0.393  0.022       0.005   0.225   0.025
   6  120     52.26      0.57        70    75.3    22.4    53.0   102.2    65.5    53.3    14.3    23.3    4.80    6.51     0.011     0.008     0.002     0.004  0.875       0.001   0.074   0.026
   7   95     49.17     -0.41        10    82.9    78.9   134.8   124.6   111.6    63.4    20.1    34.9    6.80    8.18     0.001     0.033     0.007     0.480  0.196       0.000   0.268   0.014
   8  146     49.91     15.39       231    22.6    25.2    37.6    34.5    33.6    40.4    36.5    84.9   -0.32    4.49     0.109     0.006     0.040     0.014  0.809       0.002   0.000   0.020
   9  126     46.40      6.23       430    95.0    59.5   101.0   195.9   131.6    81.4    29.5   136.3    1.74    3.88     0.074     0.364     0.179     0.104  0.191       0.050   0.000   0.013
  10  144     49.13     16.66       205    39.0    17.5    27.8    27.9    20.2    41.6    30.9    62.9   -0.64    4.43     0.083     0.058     0.063     0.000  0.772       0.002   0.000   0.019
  11  112     48.07      7.35       200    32.5    19.5    49.2    93.3    57.0    81.1    44.6   130.6    3.06    4.88     0.086     0.278     0.250     0.108  0.246       0.000   0.000   0.031
  12  163     56.45     -3.05        20    55.1    79.7    72.9    96.0    97.1    35.7    30.9    62.8    3.18    4.75     0.067     0.009     0.030     0.202  0.182       0.003   0.303   0.015
  13  161     55.94     -3.30        60    56.9    77.2   128.0    92.9    91.7    51.0    27.7    54.2    3.55    4.93     0.035     0.026     0.040     0.354  0.203       0.001   0.157   0.032
  14  123     57.63     -3.33        30    69.2    57.9    70.9   113.5    65.0    50.3    54.4    55.5    2.44    3.67     0.086     0.010     0.040     0.133  0.046       0.001   0.363   0.002
  15  126     50.57      4.70       165    62.1    31.9   111.7   149.3   100.9    79.6    53.9    37.9    4.03    6.35     0.018     0.079     0.072     0.235  0.475       0.001   0.000   0.119
  16   93     52.12     -2.64        84    74.2    60.0   124.2   135.4    90.0    41.4    15.3    56.2    5.54    6.64     0.009     0.029     0.019     0.478  0.369       0.000   0.014   0.058
  17  205     57.12     14.11        10    64.0    57.1   102.2    63.8    84.2    62.3    66.4    58.2   -1.44    1.90     0.768     0.001     0.000     0.000  0.084       0.064   0.000   0.013
  18  104     52.94     -0.07         3    61.6    34.1    60.9    90.3    54.8    41.7    10.2    32.4    5.05    6.66     0.006     0.002     0.001     0.014  0.762       0.001   0.191   0.015
  19  170     58.81     15.45        90    49.2    25.1    67.9    52.7    58.9    43.1    77.2    53.6   -1.55    1.81     0.436     0.005     0.001     0.003  0.378       0.131   0.009   0.022
  20   37     38.38     23.12        94   133.7    57.1   133.1   150.3    13.7    62.2    12.9    11.9    8.28   10.58     0.028     0.013     0.022     0.044  0.229       0.005   0.335   0.020
  21  198     58.58     13.24        70    56.9    39.9    75.1    54.5    53.1    49.2    53.8    51.9   -1.63    2.19     0.275     0.007     0.002     0.006  0.359       0.320   0.000   0.012
