  ID     Rep    Tray Species Isolate   TypeA   TypeB Seedlings Resistant
   1       1       1       B       3      10       3        23         3
   2       1       2       A       6       6       5        23        14
   3       1       3       A       4       4       5        23         5
   4       1       4       B       1      10       1        23         2
   5       1       5       A       7       7       5        23         6
   6       1       6       B       2      10       2        23         2
   7       1       7       A       1       1       5        23         3
   8       1       8       A       9       9       5        23         1
   9       1       9       A       5       5       5        23         2
  10       1      10       A       2       2       5        23         3
  11       1      11       A       8       8       5        23        15
  12       1      12       A       3       3       5        23         4
  13       1      13       B       4      10       4        23         2
  14       2       1       A       3       3       5        22         2
  15       2       2       A       5       5       5        22         2
  16       2       3       A       8       8       5        22         8
  17       2       4       A       9       9       5        22         1
  18       2       5       A       4       4       5        22         1
  19       2       6       A       1       1       5        22         3
  20       2       7       B       2      10       2        22         2
  21       2       8       B       4      10       4        22         0
  22       2       9       A       7       7       5        22         4
  23       2      10       B       1      10       1        22         1
  24       2      11       A       2       2       5        22         1
  25       2      12       B       3      10       3        22         2
  26       2      13       A       6       6       5        22         9
  27       3       1       A       3       3       5        23         3
  28       3       2       A       7       7       5        23         5
  29       3       3       A       2       2       5        23         3
  30       3       4       A       5       5       5        23         2
  31       3       5       B       1      10       1        23         1
  32       3       6       A       8       8       5        23        16
  33       3       7       A       6       6       5        23        15
  34       3       8       A       1       1       5        23         4
  35       3       9       B       3      10       3        23         4
  36       3      10       A       9       9       5        23         0
  37       3      11       B       4      10       4        23         4
  38       3      12       A       4       4       5        23         4
  39       3      13       B       2      10       2        23         1
