  ID   Rep DUnit Voltage      Km
   1     1     1    -160   0.234
   2     1     2    -140   0.320
   3     1     3    -120   0.326
   4     1     4    -100   0.327
   5     1     5     -80   0.331
   6     1     6     -60   0.489
   7     1     7     -40   0.437
   8     1     8     -20   0.786
   9     1     9       0   0.842
  10     2     1    -160   0.219
  11     2     2    -140   0.227
  12     2     3    -120   0.282
  13     2     4    -100   0.277
  14     2     5     -80   0.343
  15     2     6     -60   0.386
  16     2     7     -40   0.421
  17     2     8     -20   0.476
  18     2     9       0   0.611
