Unit   DayNo Mercury Thermistor
   1       1     5.3     5.3
   2       7     6.6     5.5
   3       8     8.9     8.7
   4      13     6.9     6.7
   5      15     8.8     8.6
   6      20     2.0     1.8
   7      22     0.5    -0.1
   8      27     3.9     3.8
   9      29    -0.5    -0.7
  10      34     4.0     3.8
  11      36     5.5     4.6
  12      41     8.2     8.0
  13      43     9.3     8.9
  14      48     4.2     3.4
  15      50     2.0     2.0
  16      55     3.1     2.7
  17      57     0.5    -0.2
  18      62     4.0     2.7
  19      64     9.4     8.7
  20      69     1.2     0.7
  21      71     4.1     3.5
  22      76     4.3     4.0
  23      78     3.6     2.7
  24      83    10.9    11.0
  25      85     7.9     7.6
  26      90     8.4     8.4
  27      92     4.5     4.5
  28      97     4.8     5.0
  29      99     8.9     8.5
  30     106    10.1    10.4
  31     111     8.4     8.5
  32     113    11.9    11.7
  33     120    13.9    14.2
  34     125    11.8    12.0
  35     127    12.1    12.4
  36     132    12.6    12.7
  37     134    11.7    11.4
  38     139    11.3    11.9
  39     141    12.0    11.6
  40     148    10.0    10.3
  41     153    13.6    13.6
  42     155    19.1    19.3
  43     160    28.4    23.0
  44     162    14.3    13.8
  45     167    17.5    17.8
  46     169    15.0    15.3
  47     174    12.7    12.9
  48     176    16.4    16.7
  49     181    24.1    24.2
  50     183    23.0    22.7
  51     188    18.5    19.0
  52     190    19.9    20.0
  53     195    24.9    23.9
  54     197    27.9    26.4
  55     202    23.0    22.5
  56     204    26.9    25.0
  57     209    20.5    20.4
  58     211    16.3    17.2
  59     216    16.6    16.8
  60     217    17.3    18.3
  61     218    16.9    17.2
  62     223    14.2    14.3
  63     225    18.8    17.6
  64     230    15.9    16.1
  65     232    17.3    17.6
  66     239    14.8    14.7
  67     241    16.3    16.7
  68     244    17.9    17.4
  69     246    20.7    19.5
  70     251    20.3    19.6
  71     253    18.4    18.3
  72     258    16.3    16.6
  73     260    17.0    17.5
  74     261    21.0    20.5
  75     265    16.0    16.1
  76     267    15.2    15.9
  77     272    15.6    14.9
  78     274    12.1    12.3
  79     279    16.9    15.8
  80     281    15.5    15.6
  81     286    12.5    12.7
  82     288    14.5    14.5
  83     293    11.0    10.9
  84     294    11.0    10.9
  85     295    11.5    10.9
  86     300    12.5    12.0
  87     302     4.6     4.3
  88     307     6.6     5.8
  89     309     9.0     8.1
  90     314    14.7    14.3
  91     316    12.4    12.2
  92     321    11.8    11.2
  93     323     5.0     4.8
  94     330     6.1     4.7
  95     335     8.8     8.1
  96     337     8.5     8.6
  97     344    10.6    10.4
  98     349     4.9     4.0
  99     351    -1.5    -2.4
 100     353     0.0    -3.2
