  ID Block  Plot      Line  NPlant OilYield
   1     1     1     DTN84   16.68     0.36
   2     1     2    DTN108   24.46     0.58
   3     1     3     DTN78   37.80     0.39
   4     1     4    DTN19B   37.80     0.38
   5     1     5  CH304-73   22.23     0.37
   6     1     6     DTN10   37.80     0.30
   7     1     7     DTN11   24.46     0.29
   8     2     1     DTN84   31.13     0.34
   9     2     2     DTN12   31.13     0.36
  10     2     3     DTN04   24.46     0.33
  11     2     4     DTN11   55.58     0.38
  12     2     5    DTN19B   37.80     0.33
  13     2     6     DTN10   28.90     0.34
  14     2     7    DTN108   26.68     0.54
  15     3     1     DTN31   26.68     0.21
  16     3     2     DTN78   28.90     0.36
  17     3     3     DTN10   28.90     0.32
  18     3     4  CH304-70   26.68     0.24
  19     3     5     DTN84   26.68     0.58
  20     3     6    DTN108    6.67     0.56
  21     3     7     DTN20   24.46     0.41
  22     1     8    DTN19A   26.68     0.17
  23     1     9     DTN04   35.57     0.26
  24     1    10     DTN31   24.46     0.19
  25     1    11  CH304-70   26.68     0.22
  26     1    12     DTN20   31.13     0.32
  27     1    13     DTN12   20.01     0.31
  28     1    14     DTN01   42.24     0.32
  29     2     8     DTN20   24.46     0.35
  30     2     9     DTN31   31.13     0.18
  31     2    10     DTN01   37.80     0.37
  32     2    11  CH304-73   35.57     0.24
  33     2    12    DTN19A   24.46     0.23
  34     2    13     DTN78   35.57     0.59
  35     2    14  CH304-70   17.79     0.24
  36     3     8    DTN19B   40.02     0.32
  37     3     9    DTN19A    8.89     0.30
  38     3    10     DTN01   31.13     0.38
  39     3    11     DTN04   28.90     0.23
  40     3    12     DTN11   46.69     0.28
  41     3    13     DTN12   31.13     0.35
  42     3    14  CH304-73   26.68     0.29
