 ID Block  Plot   Row   Fungicide RowYield
  1     1     1     1          F3   720
  2     1     1     2          F3   528
  3     1     1     3          F3   678
  4     1     1     4          F3   642
  5     1     2     1     Control   348
  6     1     2     2     Control   405
  7     1     2     3     Control   364
  8     1     2     4     Control   391
  9     1     3     1          F2   652
 10     1     3     2          F2   658
 11     1     3     3          F2   569
 12     1     3     4          F2   653
 13     1     4     1          F1   635
 14     1     4     2          F1   512
 15     1     4     3          F1   536
 16     1     4     4          F1   425
 17     1     5     1          F4   642
 18     1     5     2          F4   639
 19     1     5     3          F4   642
 20     1     5     4          F4   569
 21     2     1     1          F2   554
 22     2     1     2          F2   618
 23     2     1     3          F2   621
 24     2     1     4          F2   607
 25     2     2     1     Control   411
 26     2     2     2     Control   374
 27     2     2     3     Control   396
 28     2     2     4     Control   451
 29     2     3     1          F3   682
 30     2     3     2          F3   741
 31     2     3     3          F3   712
 32     2     3     4          F3   697
 33     2     4     1          F4   639
 34     2     4     2          F4   544
 35     2     4     3          F4   521
 36     2     4     4          F4   496
 37     2     5     1          F1   583
 38     2     5     2          F1   530
 39     2     5     3          F1   629
 40     2     5     4          F1   674
 41     3     1     1     Control   561
 42     3     1     2     Control   491
 43     3     1     3     Control   429
 44     3     1     4     Control   519
 45     3     2     1          F2   555
 46     3     2     2          F2   633
 47     3     2     3          F2   715
 48     3     2     4          F2   697
 49     3     3     1          F3   638
 50     3     3     2          F3   712
 51     3     3     3          F3   633
 52     3     3     4          F3   665
 53     3     4     1          F4   505
 54     3     4     2          F4   597
 55     3     4     3          F4   607
 56     3     4     4          F4   539
 57     3     5     1          F1   598
 58     3     5     2          F1   620
 59     3     5     3          F1   596
 60     3     5     4          F1   610
 61     4     1     1          F3   451
 62     4     1     2          F3   493
 63     4     1     3          F3   535
 64     4     1     4          F3   537
 65     4     2     1          F2   513
 66     4     2     2          F2   626
 67     4     2     3          F2   574
 68     4     2     4          F2   555
 69     4     3     1          F1   441
 70     4     3     2          F1   467
 71     4     3     3          F1   701
 72     4     3     4          F1   523
 73     4     4     1     Control   367
 74     4     4     2     Control   319
 75     4     4     3     Control   361
 76     4     4     4     Control   285
 77     4     5     1          F4   631
 78     4     5     2          F4   618
 79     4     5     3          F4   689
 80     4     5     4          F4   730
