 ID  Farm Field DHalf  Year   Treatment     Weeds  Seedbank
  1     1     1     1     1           C       195        56
  2     1     1     2     1          GM       200        93
  3     1     2     1     2           C       470       154
  4     1     2     2     2          GM       395       218
  5     1     3     1     3           C       432        68
  6     1     3     2     3          GM       192       103
  7     2     1     1     1           C       142        71
  8     2     1     2     1          GM       128       126
  9     2     2     1     2           C      1625        60
 10     2     2     2     2          GM       180       117
 11     3     1     1     1           C       121        52
 12     3     1     2     1          GM        84        56
 13     4     1     1     1           C       505       156
 14     4     1     2     1          GM       115       145
 15     4     2     1     2           C       234       146
 16     4     2     2     2          GM       248       504
 17     4     3     1     3           C      1266       256
 18     4     3     2     3          GM      1166       289
 19     5     1     1     2           C        54       311
 20     5     1     2     2          GM       125        73
 21     5     2     1     3           C        68        49
 22     5     2     2     3          GM       406       237
 23     6     1     1     2           C       104        69
 24     6     1     2     2          GM        48       190
 25     7     1     1     2           C        42        20
 26     7     1     2     2          GM        19         7
 27     8     1     1     2           C       255        59
 28     8     1     2     2          GM       387        39
 29     8     2     1     3           C       101        40
 30     8     2     2     3          GM       121        19
 31     9     1     1     1           C      1815       133
 32     9     1     2     1          GM       381       128
 33     9     2     1     2           C       403       182
 34     9     2     2     2          GM       461       120
 35     9     3     1     3           C       817       734
 36     9     3     2     3          GM      1395       969
 37    10     1     1     2           C        40       126
 38    10     1     2     2          GM       111        79
 39    10     2     1     3           C       203        99
 40    10     2     2     3          GM       327        51
 41    11     1     1     1           C       125        60
 42    11     1     2     1          GM       558       124
 43    11     2     1     3           C        66        46
 44    11     2     2     3          GM       149        57
 45    12     1     1     1           C       432        26
 46    12     1     2     1          GM       272        50
 47    12     2     1     2           C       636       149
 48    12     2     2     2          GM        25       156
 49    12     3     1     3           C       356       102
 50    12     3     2     3          GM        51        55
 51    13     1     1     2           C       449        62
 52    13     1     2     2          GM        56        61
 53    14     1     1     2           C      2620       302
 54    14     1     2     2          GM      1743       260
 55    15     1     1     2           C       314       487
 56    15     1     2     2          GM       602       152
 57    16     1     1     3           C       708        85
 58    16     1     2     3          GM       571       167
 59    17     1     1     2           C       741        70
 60    17     1     2     2          GM       780        70
 61    17     2     1     3           C       337        23
 62    17     2     2     3          GM       176        60
 63    18     1     1     2           C       113       150
 64    18     1     2     2          GM        56        68
 65    18     2     1     3           C       634        98
 66    18     2     2     3          GM       547       139
 67    19     1     1     2           C      1302       241
 68    19     1     2     2          GM       692       271
 69    20     1     1     2           C       653       252
 70    20     1     2     2          GM       492       283
 71    21     1     1     2           C        73        49
 72    21     1     2     2          GM       163        55
 73    22     1     1     2           C       286        65
 74    22     1     2     2          GM       154       116
 75    22     2     1     3           C      1040       158
 76    22     2     2     3          GM       324        51
 77    23     1     1     2           C       487       100
 78    23     1     2     2          GM       288       153
 79    23     2     1     3           C       702       239
 80    23     2     2     3          GM      1388       543
 81    24     1     1     2           C       473        44
 82    24     1     2     2          GM       225        41
 83    24     2     1     3           C       485       240
 84    24     2     2     3          GM       270       178
 85    25     1     1     2           C      1631       251
 86    25     1     2     2          GM      7875       384
 87    25     2     1     3           C       640       471
 88    25     2     2     3          GM       587       413
 89    26     1     1     2           C       358       241
 90    26     1     2     2          GM        25       216
 91    26     2     1     3           C       198        50
 92    26     2     2     3          GM        46       149
 93    27     1     1     2           C        29        33
 94    27     1     2     2          GM       292       110
 95    28     1     1     3           C       244        88
 96    28     1     2     3          GM       178        29
 97    29     1     1     2           C       921        89
 98    29     1     2     2          GM       178        51
 99    30     1     1     1           C       376       173
100    30     1     2     1          GM       263       563
101    30     2     1     2           C       248       113
102    30     2     2     2          GM        55        50
103    30     3     1     3           C       404       213
104    30     3     2     3          GM       482       340
105    31     1     1     3           C      2103       394
106    31     1     2     3          GM       367       530
107    32     1     1     3           C       354        72
108    32     1     2     3          GM       233        66
109    33     1     1     3           C       403       136
110    33     1     2     3          GM       142        56
111    34     1     1     3           C       261        25
112    34     1     2     3          GM       310        85
113    35     1     1     3           C      2041       389
114    35     1     2     3          GM      1176       693
115    36     1     1     2           C       171        50
116    36     1     2     2          GM       677        88
117    37     1     1     2           C       701       162
118    37     1     2     2          GM       352       142
